{'loss': 4.3356, 'learning_rate': 4.981237992315082e-05, 'epoch': 0.01}
{'loss': 4.033, 'learning_rate': 4.962475984630163e-05, 'epoch': 0.02}
{'loss': 3.9754, 'learning_rate': 4.943713976945245e-05, 'epoch': 0.03}
{'loss': 3.9428, 'learning_rate': 4.924951969260327e-05, 'epoch': 0.05}
{'loss': 3.8734, 'learning_rate': 4.906189961575409e-05, 'epoch': 0.06}
{'loss': 3.8441, 'learning_rate': 4.88742795389049e-05, 'epoch': 0.07}
{'loss': 3.8152, 'learning_rate': 4.868665946205572e-05, 'epoch': 0.08}
{'loss': 3.7565, 'learning_rate': 4.849903938520653e-05, 'epoch': 0.09}
{'loss': 3.7327, 'learning_rate': 4.8311419308357355e-05, 'epoch': 0.1}
{'loss': 3.7006, 'learning_rate': 4.8123799231508164e-05, 'epoch': 0.11}
{'loss': 3.6715, 'learning_rate': 4.7936179154658986e-05, 'epoch': 0.12}
{'loss': 3.6699, 'learning_rate': 4.77485590778098e-05, 'epoch': 0.14}
{'loss': 3.6374, 'learning_rate': 4.756093900096062e-05, 'epoch': 0.15}
{'loss': 3.6375, 'learning_rate': 4.737331892411143e-05, 'epoch': 0.16}
{'loss': 3.6113, 'learning_rate': 4.718569884726225e-05, 'epoch': 0.17}
{'loss': 3.5926, 'learning_rate': 4.699807877041307e-05, 'epoch': 0.18}
{'loss': 3.5828, 'learning_rate': 4.6810458693563886e-05, 'epoch': 0.19}
{'loss': 3.5572, 'learning_rate': 4.6622838616714695e-05, 'epoch': 0.2}
{'loss': 3.5555, 'learning_rate': 4.643521853986552e-05, 'epoch': 0.21}
{'loss': 3.5316, 'learning_rate': 4.624759846301633e-05, 'epoch': 0.23}
{'loss': 3.5092, 'learning_rate': 4.6059978386167155e-05, 'epoch': 0.24}
{'loss': 3.5115, 'learning_rate': 4.5872358309317964e-05, 'epoch': 0.25}
{'loss': 3.5026, 'learning_rate': 4.568473823246878e-05, 'epoch': 0.26}
{'loss': 3.5135, 'learning_rate': 4.54971181556196e-05, 'epoch': 0.27}
{'loss': 3.5051, 'learning_rate': 4.530949807877041e-05, 'epoch': 0.28}
{'loss': 3.4484, 'learning_rate': 4.512187800192123e-05, 'epoch': 0.29}
{'loss': 3.4735, 'learning_rate': 4.493425792507205e-05, 'epoch': 0.3}
{'loss': 3.4609, 'learning_rate': 4.474663784822286e-05, 'epoch': 0.32}
{'loss': 3.4761, 'learning_rate': 4.455901777137368e-05, 'epoch': 0.33}
{'loss': 3.4434, 'learning_rate': 4.4371397694524494e-05, 'epoch': 0.34}
{'loss': 3.438, 'learning_rate': 4.4183777617675316e-05, 'epoch': 0.35}
{'loss': 3.4387, 'learning_rate': 4.399615754082613e-05, 'epoch': 0.36}
{'loss': 3.42, 'learning_rate': 4.380853746397695e-05, 'epoch': 0.37}
{'loss': 3.4246, 'learning_rate': 4.362091738712776e-05, 'epoch': 0.38}
{'loss': 3.3999, 'learning_rate': 4.343329731027858e-05, 'epoch': 0.39}
{'loss': 3.404, 'learning_rate': 4.32456772334294e-05, 'epoch': 0.41}
{'loss': 3.3897, 'learning_rate': 4.305805715658021e-05, 'epoch': 0.42}
{'loss': 3.3923, 'learning_rate': 4.287043707973103e-05, 'epoch': 0.43}
{'loss': 3.3861, 'learning_rate': 4.268281700288185e-05, 'epoch': 0.44}
{'loss': 3.3853, 'learning_rate': 4.249519692603266e-05, 'epoch': 0.45}
{'loss': 3.3905, 'learning_rate': 4.230757684918348e-05, 'epoch': 0.46}
{'loss': 3.3689, 'learning_rate': 4.2119956772334294e-05, 'epoch': 0.47}
{'loss': 3.3471, 'learning_rate': 4.1932336695485116e-05, 'epoch': 0.48}
{'loss': 3.3572, 'learning_rate': 4.174471661863593e-05, 'epoch': 0.5}
{'loss': 3.3455, 'learning_rate': 4.155709654178675e-05, 'epoch': 0.51}
{'loss': 3.3654, 'learning_rate': 4.136947646493756e-05, 'epoch': 0.52}
{'loss': 3.3339, 'learning_rate': 4.118185638808838e-05, 'epoch': 0.53}
{'loss': 3.3382, 'learning_rate': 4.099423631123919e-05, 'epoch': 0.54}
{'loss': 3.3335, 'learning_rate': 4.080661623439001e-05, 'epoch': 0.55}
{'loss': 3.3395, 'learning_rate': 4.061899615754083e-05, 'epoch': 0.56}
{'loss': 3.3215, 'learning_rate': 4.0431376080691647e-05, 'epoch': 0.57}
{'loss': 3.3063, 'learning_rate': 4.024375600384246e-05, 'epoch': 0.59}
{'loss': 3.3152, 'learning_rate': 4.005613592699328e-05, 'epoch': 0.6}
{'loss': 3.2944, 'learning_rate': 3.986851585014409e-05, 'epoch': 0.61}
{'loss': 3.3186, 'learning_rate': 3.9680895773294915e-05, 'epoch': 0.62}
{'loss': 3.3117, 'learning_rate': 3.9493275696445724e-05, 'epoch': 0.63}
